joint0_x,joint0_y,joint0_z,joint1_x,joint1_y,joint1_z,joint2_x,joint2_y,joint2_z,joint3_x,joint3_y,joint3_z,joint4_x,joint4_y,joint4_z,joint5_x,joint5_y,joint5_z,joint6_x,joint6_y,joint6_z,joint7_x,joint7_y,joint7_z,joint8_x,joint8_y,joint8_z,joint9_x,joint9_y,joint9_z,joint10_x,joint10_y,joint10_z,joint11_x,joint11_y,joint11_z,joint12_x,joint12_y,joint12_z,joint13_x,joint13_y,joint13_z,joint14_x,joint14_y,joint14_z,joint15_x,joint15_y,joint15_z,joint16_x,joint16_y,joint16_z,joint17_x,joint17_y,joint17_z,joint18_x,joint18_y,joint18_z,joint19_x,joint19_y,joint19_z,joint20_x,joint20_y,joint20_z,joint21_x,joint21_y,joint21_z,joint22_x,joint22_y,joint22_z,joint23_x,joint23_y,joint23_z,joint24_x,joint24_y,joint24_z,joint25_x,joint25_y,joint25_z,joint26_x,joint26_y,joint26_z,joint27_x,joint27_y,joint27_z,joint28_x,joint28_y,joint28_z,joint29_x,joint29_y,joint29_z,joint30_x,joint30_y,joint30_z,joint31_x,joint31_y,joint31_z,joint32_x,joint32_y,joint32_z
397.0,103.0,3.319000244140625,400.0,96.0,3.374000072479248,402.0,96.0,3.4110002517700195,403.0,97.0,3.430000066757202,393.0,94.0,3.355000257492065,390.0,93.0,3.337000131607056,387.0,92.0,3.319000244140625,401.0,101.0,3.392000198364258,377.0,94.0,3.4110002517700195,399.0,112.0,3.2840001583099365,391.0,111.0,3.2840001583099365,411.0,152.0,3.319000244140625,346.0,137.0,2.562000036239624,421.0,211.0,3.249000072479248,372.0,148.0,2.330000162124634,432.0,265.0,3.3010001182556152,422.0,107.0,3.430000066757202,436.0,283.0,3.319000244140625,432.0,101.0,3.337000131607056,432.0,282.0,3.392000198364258,430.0,99.0,3.337000131607056,429.0,276.0,3.449000120162964,427.0,101.0,3.4110002517700195,399.0,282.0,3.355000257492065,352.0,284.0,2.510000228881836,403.0,377.0,2.572000026702881,341.0,373.0,2.9260001182556152,424.0,456.0,1.6420000791549683,335.0,448.0,1.7340000867843628,420.0,466.0,1.5670000314712524,340.0,456.0,1.6290000677108765,0.0,0.0,0.0,0.0,0.0,0.0
400.0,103.0,3.468000173568725,400.0,96.0,3.449000120162964,401.0,97.0,3.430000066757202,402.0,97.0,3.4110002517700195,396.0,95.0,3.5280001163482666,393.0,95.0,3.54800009727478,390.0,94.0,3.5280001163482666,399.0,101.0,3.468000173568725,381.0,96.0,3.2320001125335693,398.0,112.0,3.355000257492065,392.0,111.0,3.4110002517700195,411.0,152.0,3.374000072479248,342.0,136.0,2.898000240325928,421.0,213.0,3.2660002708435054,363.0,149.0,2.365000009536743,432.0,265.0,3.355000257492065,381.0,108.0,3.21500015258789,437.0,283.0,3.3010001182556152,384.0,98.0,3.3010001182556152,432.0,282.0,3.319000244140625,384.0,97.0,3.2840001583099365,429.0,277.0,3.355000257492065,382.0,103.0,3.2320001125335693,399.0,282.0,3.249000072479248,352.0,284.0,2.5300002098083496,403.0,376.0,2.594000101089477,341.0,372.0,2.720000028610229,424.0,456.0,1.6600000858306885,336.0,447.0,1.7440000772476196,420.0,466.0,1.571000099182129,341.0,456.0,1.6600000858306885,0.0,0.0,0.0,328.0,475.0,1.5280001163482666
403.0,105.0,3.2660002708435054,404.0,97.0,3.337000131607056,405.0,98.0,3.337000131607056,406.0,98.0,3.355000257492065,399.0,95.0,3.355000257492065,396.0,94.0,3.4110002517700195,392.0,93.0,3.449000120162964,401.0,101.0,3.3010001182556152,381.0,94.0,3.3010001182556152,400.0,113.0,3.449000120162964,394.0,112.0,3.430000066757202,409.0,152.0,3.199000120162964,348.0,137.0,2.5410001277923584,423.0,210.0,3.374000072479248,384.0,185.0,2.9820001125335693,429.0,265.0,3.355000257492065,443.0,222.0,3.2660002708435054,431.0,284.0,3.2660002708435054,451.0,227.0,3.319000244140625,428.0,283.0,3.2660002708435054,452.0,226.0,3.3010001182556152,427.0,276.0,3.337000131607056,449.0,226.0,3.3010001182556152,399.0,282.0,3.337000131607056,352.0,283.0,2.499000072479248,403.0,378.0,2.562000036239624,341.0,374.0,2.720000028610229,424.0,456.0,1.5950000286102295,335.0,448.0,1.7050000429153442,420.0,466.0,1.540000081062317,340.0,457.0,1.6600000858306885,0.0,0.0,0.0,0.0,0.0,0.0
402.0,105.0,3.134000062942505,404.0,97.0,3.319000244140625,405.0,98.0,3.319000244140625,406.0,99.0,3.319000244140625,399.0,95.0,3.319000244140625,395.0,94.0,3.355000257492065,392.0,93.0,3.374000072479248,401.0,101.0,3.2660002708435054,381.0,94.0,3.355000257492065,400.0,113.0,3.150000095367432,394.0,112.0,3.150000095367432,409.0,152.0,3.569000244140625,348.0,137.0,2.5510001182556152,424.0,209.0,3.355000257492065,383.0,183.0,3.134000062942505,429.0,266.0,3.2660002708435054,448.0,211.0,3.249000072479248,431.0,285.0,3.150000095367432,458.0,215.0,3.249000072479248,428.0,283.0,3.118000030517578,460.0,215.0,3.2660002708435054,426.0,277.0,3.21500015258789,457.0,214.0,3.249000072479248,399.0,282.0,3.249000072479248,352.0,283.0,2.5300002098083496,403.0,378.0,2.5510001182556152,341.0,374.0,2.7680001258850098,424.0,456.0,1.5950000286102295,335.0,448.0,1.6910001039505005,420.0,466.0,1.5510001182556152,340.0,456.0,1.6730000972747803,0.0,0.0,0.0,329.0,475.0,1.5470000505447388
402.0,105.0,3.2840001583099365,403.0,98.0,3.4110002517700195,404.0,98.0,3.430000066757202,405.0,99.0,3.449000120162964,398.0,95.0,3.374000072479248,395.0,94.0,3.355000257492065,391.0,93.0,3.374000072479248,401.0,101.0,3.374000072479248,381.0,94.0,3.355000257492065,399.0,113.0,3.337000131607056,394.0,112.0,3.319000244140625,410.0,152.0,3.21500015258789,347.0,136.0,2.594000101089477,421.0,206.0,3.337000131607056,376.0,174.0,2.7080001831054688,429.0,266.0,3.319000244140625,449.0,184.0,3.2320001125335693,432.0,285.0,3.134000062942505,463.0,185.0,3.2660002708435054,429.0,283.0,3.1820001602172847,464.0,182.0,3.319000244140625,427.0,277.0,3.319000244140625,461.0,182.0,3.2840001583099365,399.0,282.0,3.3010001182556152,352.0,283.0,2.499000072479248,403.0,377.0,2.499000072479248,341.0,373.0,2.819000244140625,424.0,456.0,1.599000096321106,335.0,448.0,1.7340000867843628,420.0,466.0,1.5510001182556152,340.0,456.0,1.6200001239776611,0.0,0.0,0.0,329.0,475.0,1.5280001163482666
402.0,105.0,3.2660002708435054,403.0,98.0,3.4110002517700195,404.0,98.0,3.4110002517700195,405.0,99.0,3.392000198364258,398.0,95.0,3.337000131607056,395.0,94.0,3.2840001583099365,391.0,93.0,3.249000072479248,401.0,101.0,3.4110002517700195,381.0,94.0,3.2660002708435054,400.0,113.0,3.249000072479248,394.0,112.0,3.355000257492065,413.0,155.0,2.9540002346038814,347.0,137.0,2.5410001277923584,421.0,213.0,3.319000244140625,375.0,167.0,2.4120001792907715,431.0,267.0,3.319000244140625,445.0,144.0,3.249000072479248,435.0,285.0,3.21500015258789,460.0,138.0,3.21500015258789,431.0,283.0,3.2660002708435054,459.0,134.0,3.134000062942505,428.0,277.0,3.355000257492065,455.0,136.0,3.199000120162964,399.0,283.0,3.3010001182556152,353.0,284.0,2.5200002193450928,403.0,377.0,2.6610000133514404,341.0,375.0,2.7320001125335693,424.0,455.0,1.6120001077651975,335.0,448.0,1.6730000972747803,420.0,465.0,1.571000099182129,339.0,456.0,1.6380001306533811,0.0,0.0,0.0,329.0,475.0,1.540000081062317
401.0,104.0,3.21500015258789,402.0,97.0,3.2660002708435054,404.0,97.0,3.2320001125335693,405.0,98.0,3.21500015258789,397.0,95.0,3.355000257492065,393.0,94.0,3.430000066757202,390.0,93.0,3.4880001544952393,401.0,101.0,3.2320001125335693,379.0,94.0,3.2840001583099365,400.0,113.0,3.21500015258789,394.0,112.0,3.319000244140625,412.0,153.0,3.21500015258789,347.0,137.0,2.562000036239624,421.0,214.0,3.374000072479248,371.0,152.0,2.374000072479248,432.0,266.0,3.2320001125335693,428.0,118.0,3.2660002708435054,436.0,284.0,3.2660002708435054,441.0,110.0,3.150000095367432,431.0,283.0,3.2660002708435054,438.0,108.0,3.1820001602172847,429.0,277.0,3.3010001182556152,435.0,110.0,3.1660001277923584,399.0,283.0,3.1660001277923584,353.0,285.0,2.5300002098083496,403.0,378.0,2.510000228881836,341.0,376.0,2.845000028610229,424.0,456.0,1.6420000791549683,335.0,448.0,1.696000099182129,420.0,466.0,1.5470000505447388,339.0,456.0,1.6640000343322752,0.0,0.0,0.0,329.0,475.0,1.555000066757202
399.0,104.0,3.2840001583099365,401.0,97.0,3.21500015258789,402.0,97.0,3.21500015258789,404.0,98.0,3.21500015258789,394.0,95.0,3.21500015258789,391.0,94.0,3.249000072479248,388.0,93.0,3.3010001182556152,401.0,102.0,3.249000072479248,378.0,95.0,3.2840001583099365,399.0,113.0,3.2660002708435054,390.0,112.0,3.249000072479248,411.0,153.0,3.0560002326965328,344.0,136.0,2.7440001964569087,421.0,212.0,3.468000173568725,370.0,151.0,2.365000009536743,432.0,266.0,3.2660002708435054,406.0,105.0,3.249000072479248,437.0,284.0,3.3010001182556152,414.0,95.0,3.2840001583099365,432.0,283.0,3.2660002708435054,413.0,94.0,3.3010001182556152,430.0,277.0,3.5280001163482666,410.0,99.0,3.199000120162964,399.0,282.0,3.199000120162964,352.0,285.0,2.5410001277923584,404.0,377.0,2.562000036239624,341.0,375.0,2.7560000419616695,424.0,456.0,1.6250001192092896,335.0,448.0,1.701000094413757,420.0,466.0,1.5790001153945923,339.0,457.0,1.65500009059906,0.0,0.0,0.0,0.0,0.0,0.0
401.0,104.0,3.249000072479248,401.0,97.0,3.2840001583099365,402.0,97.0,3.2660002708435054,403.0,98.0,3.2320001125335693,397.0,95.0,3.4110002517700195,394.0,95.0,3.468000173568725,391.0,94.0,3.5280001163482666,399.0,101.0,3.2840001583099365,381.0,96.0,3.632000207901001,399.0,113.0,3.2840001583099365,393.0,111.0,3.3010001182556152,410.0,153.0,3.2320001125335693,342.0,136.0,2.9540002346038814,421.0,214.0,3.2320001125335693,363.0,149.0,2.402000188827514,432.0,266.0,3.2840001583099365,381.0,108.0,3.4880001544952393,437.0,283.0,3.4110002517700195,386.0,96.0,3.569000244140625,432.0,282.0,3.449000120162964,385.0,98.0,3.569000244140625,430.0,277.0,3.4110002517700195,384.0,103.0,3.4880001544952393,399.0,282.0,3.2320001125335693,352.0,284.0,2.5300002098083496,404.0,377.0,2.5830001831054688,341.0,374.0,2.720000028610229,424.0,457.0,1.6040000915527344,335.0,448.0,1.715000033378601,421.0,466.0,1.5670000314712524,339.0,456.0,1.599000096321106,0.0,0.0,0.0,328.0,475.0,1.5210000276565552
402.0,104.0,3.337000131607056,403.0,97.0,3.3010001182556152,404.0,97.0,3.319000244140625,405.0,98.0,3.374000072479248,398.0,95.0,3.1820001602172847,396.0,95.0,3.150000095367432,393.0,94.0,3.150000095367432,400.0,101.0,3.337000131607056,383.0,96.0,3.0560002326965328,401.0,112.0,3.337000131607056,395.0,111.0,3.2840001583099365,410.0,152.0,3.430000066757202,342.0,136.0,2.819000244140625,420.0,214.0,3.355000257492065,363.0,149.0,2.4600000381469727,432.0,266.0,3.319000244140625,380.0,107.0,3.21500015258789,436.0,283.0,3.374000072479248,384.0,97.0,3.0260002613067623,432.0,282.0,3.392000198364258,385.0,98.0,3.0410001277923584,429.0,277.0,3.430000066757202,383.0,101.0,3.1020002365112305,399.0,281.0,3.1820001602172847,352.0,284.0,2.5200002193450928,404.0,377.0,2.5410001277923584,341.0,374.0,2.781000137329101,424.0,456.0,1.6380001306533811,335.0,448.0,1.696000099182129,421.0,466.0,1.5510001182556152,339.0,457.0,1.65500009059906,0.0,0.0,0.0,0.0,0.0,0.0
