joint0_x,joint0_y,joint0_z,joint1_x,joint1_y,joint1_z,joint2_x,joint2_y,joint2_z,joint3_x,joint3_y,joint3_z,joint4_x,joint4_y,joint4_z,joint5_x,joint5_y,joint5_z,joint6_x,joint6_y,joint6_z,joint7_x,joint7_y,joint7_z,joint8_x,joint8_y,joint8_z,joint9_x,joint9_y,joint9_z,joint10_x,joint10_y,joint10_z,joint11_x,joint11_y,joint11_z,joint12_x,joint12_y,joint12_z,joint13_x,joint13_y,joint13_z,joint14_x,joint14_y,joint14_z,joint15_x,joint15_y,joint15_z,joint16_x,joint16_y,joint16_z,joint17_x,joint17_y,joint17_z,joint18_x,joint18_y,joint18_z,joint19_x,joint19_y,joint19_z,joint20_x,joint20_y,joint20_z,joint21_x,joint21_y,joint21_z,joint22_x,joint22_y,joint22_z,joint23_x,joint23_y,joint23_z,joint24_x,joint24_y,joint24_z,joint25_x,joint25_y,joint25_z,joint26_x,joint26_y,joint26_z,joint27_x,joint27_y,joint27_z,joint28_x,joint28_y,joint28_z,joint29_x,joint29_y,joint29_z,joint30_x,joint30_y,joint30_z,joint31_x,joint31_y,joint31_z,joint32_x,joint32_y,joint32_z
415.0,88.0,3.21500015258789,412.0,81.0,3.249000072479248,412.0,81.0,3.249000072479248,412.0,81.0,3.249000072479248,408.0,81.0,3.249000072479248,406.0,81.0,3.2320001125335693,403.0,81.0,3.249000072479248,406.0,85.0,3.199000120162964,394.0,86.0,3.150000095367432,415.0,97.0,3.199000120162964,411.0,98.0,3.2660002708435054,415.0,143.0,3.319000244140625,376.0,135.0,2.7440001964569087,428.0,209.0,3.337000131607056,372.0,201.0,2.6610000133514404,451.0,261.0,3.2660002708435054,387.0,262.0,2.5300002098083496,460.0,276.0,3.355000257492065,391.0,280.0,2.7560000419616695,456.0,276.0,3.355000257492065,399.0,279.0,3.319000244140625,452.0,272.0,3.392000198364258,400.0,274.0,3.1660001277923584,419.0,266.0,3.2840001583099365,392.0,267.0,2.720000028610229,423.0,355.0,3.2320001125335693,392.0,358.0,2.968000173568725,414.0,438.0,1.7540000677108765,384.0,444.0,1.7340000867843628,406.0,454.0,1.6730000972747803,379.0,454.0,1.6780000925064087,443.0,455.0,1.6250001192092896,402.0,467.0,1.559000015258789
415.0,89.0,3.2320001125335693,412.0,81.0,3.2660002708435054,412.0,81.0,3.2660002708435054,412.0,81.0,3.2660002708435054,408.0,81.0,3.2660002708435054,406.0,81.0,3.2660002708435054,403.0,81.0,3.2840001583099365,407.0,85.0,3.3010001182556152,394.0,86.0,3.4110002517700195,415.0,97.0,3.319000244140625,411.0,98.0,3.3010001182556152,415.0,144.0,3.3010001182556152,377.0,135.0,2.720000028610229,428.0,209.0,3.374000072479248,372.0,200.0,2.627000093460083,450.0,261.0,3.1820001602172847,388.0,262.0,2.5510001182556152,460.0,276.0,3.2660002708435054,391.0,280.0,2.7560000419616695,456.0,276.0,3.249000072479248,399.0,279.0,3.087000131607056,452.0,272.0,3.337000131607056,400.0,274.0,2.9820001125335693,419.0,266.0,3.0560002326965328,392.0,267.0,2.67300009727478,423.0,354.0,3.319000244140625,393.0,358.0,2.8320000171661377,414.0,438.0,1.821000099182129,384.0,444.0,1.7390000820159912,406.0,449.0,1.7100000381469727,378.0,454.0,1.6780000925064087,443.0,455.0,1.6510000228881836,402.0,467.0,1.5430001020431519
417.0,89.0,3.319000244140625,414.0,81.0,3.319000244140625,414.0,81.0,3.319000244140625,414.0,81.0,3.319000244140625,410.0,81.0,3.2660002708435054,408.0,81.0,3.249000072479248,405.0,81.0,3.249000072479248,407.0,85.0,3.2320001125335693,395.0,86.0,3.449000120162964,416.0,98.0,3.2660002708435054,413.0,98.0,3.319000244140625,414.0,144.0,3.1820001602172847,377.0,134.0,2.7440001964569087,425.0,208.0,3.430000066757202,375.0,204.0,2.572000026702881,450.0,255.0,3.2840001583099365,412.0,261.0,3.118000030517578,456.0,272.0,3.355000257492065,417.0,276.0,3.2840001583099365,454.0,270.0,3.337000131607056,424.0,272.0,3.337000131607056,451.0,264.0,3.319000244140625,425.0,267.0,3.4110002517700195,422.0,270.0,3.392000198364258,393.0,272.0,2.696000099182129,425.0,358.0,3.199000120162964,393.0,361.0,2.898000240325928,414.0,439.0,1.7890000343322752,384.0,444.0,1.7050000429153442,405.0,451.0,1.701000094413757,378.0,455.0,1.6600000858306885,444.0,456.0,1.6380001306533811,402.0,467.0,1.540000081062317
417.0,89.0,3.3010001182556152,414.0,81.0,3.337000131607056,414.0,81.0,3.337000131607056,414.0,81.0,3.337000131607056,410.0,81.0,3.374000072479248,408.0,81.0,3.392000198364258,405.0,81.0,3.430000066757202,407.0,85.0,3.374000072479248,395.0,86.0,3.337000131607056,416.0,98.0,3.508000135421753,413.0,98.0,3.449000120162964,413.0,144.0,3.355000257492065,378.0,134.0,2.7560000419616695,425.0,208.0,3.4110002517700195,375.0,204.0,2.594000101089477,449.0,255.0,3.374000072479248,414.0,261.0,3.150000095367432,455.0,271.0,3.2320001125335693,419.0,276.0,3.3010001182556152,453.0,269.0,3.2320001125335693,427.0,271.0,3.2660002708435054,450.0,263.0,3.2840001583099365,426.0,266.0,3.21500015258789,422.0,270.0,3.249000072479248,394.0,272.0,2.7440001964569087,425.0,358.0,3.1660001277923584,392.0,361.0,2.885000228881836,414.0,439.0,1.7390000820159912,384.0,444.0,1.7290000915527344,406.0,458.0,1.599000096321106,378.0,455.0,1.6510000228881836,444.0,456.0,1.6330001354217527,403.0,467.0,1.5670000314712524
417.0,89.0,3.337000131607056,414.0,81.0,3.319000244140625,414.0,81.0,3.319000244140625,414.0,81.0,3.319000244140625,410.0,81.0,3.355000257492065,408.0,81.0,3.374000072479248,405.0,82.0,3.4110002517700195,407.0,85.0,3.4880001544952393,395.0,86.0,3.632000207901001,416.0,98.0,3.337000131607056,413.0,98.0,3.4110002517700195,413.0,144.0,3.1820001602172847,378.0,134.0,2.7440001964569087,425.0,207.0,3.430000066757202,376.0,204.0,2.6050000190734863,448.0,252.0,3.2840001583099365,417.0,260.0,3.355000257492065,453.0,269.0,3.392000198364258,422.0,275.0,3.2660002708435054,453.0,267.0,3.374000072479248,429.0,271.0,3.2840001583099365,450.0,260.0,3.337000131607056,429.0,265.0,3.134000062942505,421.0,270.0,3.199000120162964,394.0,272.0,2.7440001964569087,425.0,358.0,3.118000030517578,392.0,361.0,2.9120001792907715,414.0,439.0,1.8320001363754272,384.0,445.0,1.724000096321106,406.0,458.0,1.6250001192092896,378.0,455.0,1.6600000858306885,443.0,456.0,1.65500009059906,402.0,467.0,1.5630000829696655
416.0,89.0,3.2320001125335693,414.0,81.0,3.449000120162964,414.0,81.0,3.449000120162964,414.0,81.0,3.449000120162964,410.0,81.0,3.430000066757202,408.0,81.0,3.430000066757202,405.0,82.0,3.374000072479248,407.0,85.0,3.2840001583099365,395.0,86.0,3.3010001182556152,416.0,98.0,3.199000120162964,412.0,98.0,3.21500015258789,412.0,143.0,3.355000257492065,377.0,134.0,2.7440001964569087,425.0,206.0,3.2660002708435054,376.0,204.0,2.6050000190734863,445.0,251.0,3.1020002365112305,420.0,260.0,3.2660002708435054,452.0,268.0,3.319000244140625,427.0,275.0,3.337000131607056,452.0,265.0,3.3010001182556152,435.0,270.0,3.337000131607056,449.0,258.0,3.199000120162964,433.0,265.0,3.319000244140625,421.0,270.0,3.337000131607056,395.0,272.0,2.845000028610229,425.0,358.0,3.150000095367432,392.0,361.0,2.819000244140625,414.0,438.0,1.7790000438690183,384.0,444.0,1.7100000381469727,406.0,458.0,1.6250001192092896,378.0,455.0,1.6640000343322752,444.0,455.0,1.6420000791549683,404.0,467.0,1.5510001182556152
416.0,88.0,3.4110002517700195,413.0,81.0,3.468000173568725,414.0,81.0,3.468000173568725,414.0,81.0,3.468000173568725,410.0,81.0,3.430000066757202,407.0,81.0,3.374000072479248,405.0,81.0,3.355000257492065,407.0,85.0,3.449000120162964,395.0,86.0,3.430000066757202,416.0,97.0,3.249000072479248,412.0,98.0,3.2660002708435054,412.0,143.0,3.355000257492065,378.0,134.0,2.7680001258850098,424.0,206.0,3.2660002708435054,377.0,204.0,2.6050000190734863,444.0,250.0,3.2320001125335693,422.0,260.0,3.2660002708435054,451.0,268.0,3.355000257492065,430.0,275.0,3.430000066757202,452.0,265.0,3.2320001125335693,438.0,270.0,3.249000072479248,449.0,258.0,3.199000120162964,436.0,265.0,3.249000072479248,421.0,270.0,3.392000198364258,395.0,272.0,2.819000244140625,424.0,359.0,3.1020002365112305,392.0,361.0,2.898000240325928,413.0,438.0,1.8320001363754272,384.0,443.0,1.7390000820159912,406.0,458.0,1.6080000400543213,378.0,455.0,1.6330001354217527,444.0,455.0,1.6290000677108765,404.0,466.0,1.5510001182556152
416.0,88.0,3.374000072479248,413.0,81.0,3.374000072479248,413.0,81.0,3.374000072479248,413.0,81.0,3.374000072479248,410.0,81.0,3.392000198364258,407.0,81.0,3.4110002517700195,404.0,81.0,3.430000066757202,406.0,85.0,3.392000198364258,394.0,86.0,3.430000066757202,415.0,97.0,3.392000198364258,412.0,98.0,3.4110002517700195,411.0,143.0,3.2320001125335693,377.0,134.0,2.781000137329101,422.0,206.0,3.337000131607056,377.0,204.0,2.638000011444092,444.0,250.0,3.150000095367432,424.0,258.0,3.1660001277923584,451.0,267.0,3.319000244140625,431.0,272.0,3.5890002250671382,452.0,263.0,3.319000244140625,439.0,268.0,3.392000198364258,449.0,257.0,3.3010001182556152,437.0,263.0,3.337000131607056,421.0,269.0,3.392000198364258,395.0,272.0,2.845000028610229,424.0,359.0,3.1820001602172847,393.0,361.0,2.885000228881836,413.0,438.0,1.7640000581741333,385.0,444.0,1.7540000677108765,406.0,458.0,1.6080000400543213,378.0,455.0,1.6380001306533811,444.0,455.0,1.6380001306533811,406.0,466.0,1.5510001182556152
416.0,88.0,3.2840001583099365,413.0,81.0,3.2840001583099365,413.0,81.0,3.2840001583099365,413.0,81.0,3.2840001583099365,409.0,81.0,3.2320001125335693,407.0,81.0,3.21500015258789,404.0,81.0,3.2320001125335693,406.0,85.0,3.2320001125335693,394.0,86.0,3.337000131607056,415.0,97.0,3.355000257492065,412.0,98.0,3.392000198364258,411.0,143.0,3.392000198364258,377.0,134.0,2.7560000419616695,420.0,205.0,3.374000072479248,377.0,203.0,2.572000026702881,444.0,250.0,3.134000062942505,425.0,254.0,3.249000072479248,451.0,267.0,3.21500015258789,434.0,268.0,3.4110002517700195,453.0,262.0,3.199000120162964,440.0,264.0,3.319000244140625,450.0,256.0,3.1020002365112305,439.0,259.0,3.319000244140625,421.0,269.0,3.337000131607056,395.0,270.0,2.7440001964569087,424.0,358.0,3.150000095367432,393.0,361.0,2.9120001792907715,413.0,438.0,1.8000000715255735,384.0,444.0,1.7390000820159912,406.0,458.0,1.6460000276565552,377.0,455.0,1.6460000276565552,444.0,455.0,1.6290000677108765,404.0,466.0,1.5630000829696655
415.0,88.0,3.21500015258789,412.0,81.0,3.3010001182556152,413.0,81.0,3.3010001182556152,413.0,80.0,3.337000131607056,409.0,81.0,3.2840001583099365,407.0,81.0,3.2840001583099365,404.0,81.0,3.2660002708435054,405.0,85.0,3.249000072479248,394.0,86.0,3.319000244140625,415.0,97.0,3.4110002517700195,412.0,98.0,3.449000120162964,410.0,143.0,3.430000066757202,377.0,134.0,2.7440001964569087,421.0,205.0,3.3010001182556152,377.0,203.0,2.650000095367432,444.0,249.0,3.355000257492065,426.0,252.0,3.1660001277923584,452.0,265.0,3.374000072479248,435.0,267.0,3.2660002708435054,453.0,261.0,3.3010001182556152,441.0,262.0,3.449000120162964,450.0,254.0,3.337000131607056,440.0,257.0,3.449000120162964,421.0,268.0,3.2840001583099365,395.0,269.0,2.6840000152587886,424.0,358.0,3.087000131607056,393.0,360.0,2.8060002326965328,413.0,438.0,1.795000076293945,384.0,444.0,1.7290000915527344,406.0,457.0,1.6160000562667847,377.0,455.0,1.6380001306533811,445.0,455.0,1.6600000858306885,403.0,466.0,1.5510001182556152
